,knn_accuracy,knn_f1_macro,knn_f1_weighted,svm_accuracy,svm_f1_macro,svm_f1_weighted
PCA,0.28933333333333333,0.2117492518357807,0.2593108757914236,0.33116666666666666,0.19762913195330206,0.2561089379515149
tSNE,0.5036666666666667,0.4579690538396842,0.5039769722941426,0.47833333333333333,0.36173798996925466,0.4499326422882357
UMAP,0.47783333333333333,0.43570391084087334,0.4736699703655633,0.45,0.29948384051643917,0.38857559214741
TriMap,0.6615,0.563778406966595,0.6486353966280243,0.658,0.4856696681828511,0.6278080795828194
PaCMAP,0.6703333333333333,0.5602901372088096,0.6564751921386157,0.6741666666666667,0.49630534219689143,0.6419743349546558
