Method,Triplet Accuracy,Distance Spearman ρ,Centroid Correlation,NN Preservation
PCA,0.6756,0.6137279908228346,0.8295981293995198,0.15384615384615385
tSNE,0.6045,0.3039086913355387,0.6521336684196666,0.28205128205128205
UMAP,0.618,0.4078804719454359,0.7252763474213326,0.3076923076923077
TriMap,0.637,0.5934170942462781,0.7226676112475517,0.28205128205128205
PaCMAP,0.6919,0.5891724988341458,0.5197958808683735,0.2564102564102564
