Method,Avg Procrustes Dist,Std Procrustes Dist,Avg Baseline Corr,Std Baseline Corr,Avg Cluster Corr,Min Cluster Corr,Stability Score
tSNE,3827.8738,2012.8617,0.6572289218236858,0.15358619123965808,0.8532960347756773,0.8056298810022743,0.5608108329320446
UMAP,959.6765,955.6583,0.5850366387609391,0.2892602831272328,0.8091258639563365,0.30665032919253377,0.473368275783556
TriMap,1335.918,465.02164,0.9594116757562027,0.02640789992624545,0.9702628821298136,0.9351637144089975,0.9308815376682075
PaCMAP,403.31607,117.26185,0.9602487098114776,0.019908755384026613,0.9665641519166842,0.9364896865393391,0.928141979828021
